88095 98148
73171 75165 2
60052 85409 1
73213 77870 3
56676 86810 3
70745 82339 1
37902 71170 2
9228 66602 3
37942 67103 3
82659 86729 2
15571 37931 1
60560 63525 2
25573 32680 2
44796 86342 3
22932 27754 2
67212 77641 2
70173 87009 2
20702 75834 3
22969 84407 3
25763 27496 3
11106 27112 2
78695 83615 2
79890 80865 2
193 39257 2
40756 82441 1
19518 52759 1
51174 64156 1
68973 79084 3
2398 32854 1
70977 80150 3
81487 87265 1
14844 32726 3
31899 52807 2
53328 54334 3
30672 44625 1
9803 74476 2
68379 74313 1
68512 82145 1
87636 87800 1
7234 51758 1
63367 78378 3
62372 66809 1
57485 70409 3
9751 72194 1
51057 53387 3
18949 42035 1
51698 71819 2
30312 61092 3
62583 81460 1
5784 82174 3
59405 62761 1
61563 85238 3
50895 75208 3
29374 62050 2
74932 84676 1
71711 85933 3
52352 56707 3
3420 18154 2
36525 39198 1
86366 86746 3
58050 71782 3
10703 64320 1
12723 28851 2
46718 64543 2
32695 55847 3
33501 43350 2
34288 34802 1
84178 84672 2
69053 81965 2
15507 35272 2
69277 73774 1
57820 62725 1
50472 56307 1
83170 85877 2
51951 61695 3
3858 19136 3
9504 54214 2
77585 83673 2
39528 53378 2
12067 66099 2
61784 70713 3
84034 85399 2
42067 55385 3
52160 56666 1
66925 81688 3
25660 33329 1
38106 43325 2
76542 77558 3
27624 71949 3
21918 73022 2
43866 73057 1
28256 87105 3
10243 64638 1
55753 75568 1
72244 75961 3
58523 62917 2
80612 84811 2
50853 87341 1
69862 70480 1
14314 39907 2
13773 87556 2
49526 76290 1
17418 54002 2
52971 63478 2
68145 77383 1
24557 26309 3
9772 28078 3
66871 75799 2
603 77407 1
5563 13568 2
23346 71499 1
38142 39305 3
16965 25223 2
12498 38730 3
81502 84579 3
66944 77517 2
65326 71437 3
32192 46008 3
10580 11580 3
11097 75087 2
85581 87999 3
45198 73188 1
14443 74566 3
41540 74938 3
85397 87090 3
45659 72549 2
73843 86265 1
67244 82392 3
75400 84098 1
34116 75220 2
53619 64060 1
49394 81195 2
10364 68596 1
45562 83906 1
82932 83384 2
66293 66768 3
27373 87352 2
51332 66840 2
86249 87351 1
38504 71905 1
70505 71334 3
80530 85625 2
43294 65616 3
80332 83833 2
82196 86568 1
26719 83391 3
28515 42677 2
53011 63061 1
42396 64043 1
56800 82117 3
77773 84737 3
83041 87936 1
73325 87802 3
78283 86034 2
85955 86180 3
69192 77825 1
5963 58824 2
695 36434 3
48751 51617 2
79224 79301 1
8602 88003 1
1678 43004 2
22568 49260 3
60018 78555 2
2282 42593 1
86814 87156 3
16173 26680 1
48279 49268 1
83653 86248 1
61997 79425 1
17830 44379 3
48059 61852 2
51635 66759 2
40050 53527 1
20743 29505 3
23605 30936 1
54135 69836 2
23555 44641 2
27696 50725 2
2409 24696 2
69718 74089 1
41689 82097 2
55328 74168 1
11518 83782 2
61213 67505 3
21531 52879 3
8124 69992 3
50196 50875 3
60659 67664 1
8915 77167 1
26765 46323 3
35942 70794 2
12028 31713 3
805 38839 2
63124 76151 3
25180 64342 3
85922 87142 1
10831 74684 3
58856 82225 3
10082 13836 3
63889 79035 1
52831 76104 3
31194 32089 1
5237 11791 3
35930 74350 3
67349 71750 2
87539 87919 1
2667 69218 1
24636 48042 3
