79 89
6 59 3
32 77 2
19 74 2
40 70 1
19 69 3
56 58 2
69 75 1
18 29 3
73 78 3
77 78 3
42 78 2
50 59 3
45 59 1
78 78 3
28 76 1
50 51 2
37 68 1
63 77 2
49 59 1
29 58 1
1 10 1
75 79 2
78 79 3
26 34 2
33 75 3
49 71 1
18 47 1
33 43 1
26 72 2
44 60 3
69 76 3
17 38 3
53 70 2
1 54 1
13 34 1
16 22 3
63 73 2
43 79 2
24 63 3
32 53 2
12 19 3
40 69 2
66 68 3
72 77 1
40 64 2
25 55 2
50 70 2
46 71 2
11 62 1
79 79 2
41 54 3
59 73 2
43 47 2
12 52 1
73 77 2
57 68 3
11 48 3
29 49 3
18 56 3
55 62 3
17 67 3
37 50 1
36 70 1
49 65 2
25 48 2
70 75 1
10 51 2
31 61 2
18 59 1
52 54 3
14 61 1
39 41 3
41 57 1
13 54 2
75 78 3
22 53 1
41 58 1
56 68 1
12 47 1
42 74 3
65 72 3
39 49 1
35 53 3
76 76 1
31 65 3
23 47 3
14 73 3
12 62 2
5 39 3
